0,4
0,35
1,4
1,35
2,4
2,8
2,11
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,27
2,31
2,35
3,4
3,8
3,11
3,19
3,27
3,31
3,35
4,0
4,1
4,2
4,3
4,4
4,8
4,11
4,19
4,27
4,31
4,35
4,36
4,37
4,38
4,39
5,8
5,11
5,19
5,27
5,31
6,8
6,11
6,19
6,27
6,31
7,8
7,11
7,19
7,27
7,31
8,0
8,1
8,2
8,8
8,11
8,12
8,13
8,19
8,25
8,26
8,27
8,31
8,37
8,38
8,39
9,5
9,6
9,7
9,8
9,11
9,27
9,31
9,32
9,33
9,34
10,11
10,27
11,2
11,11
11,27
11,37
12,2
12,7
12,8
12,9
12,10
12,11
12,17
12,18
12,19
12,20
12,21
12,27
12,28
12,29
12,30
12,31
12,37
13,2
13,11
13,19
13,27
13,37
14,2
14,3
14,11
14,19
14,27
14,36
14,37
15,11
15,19
15,27
16,0
16,1
16,2
16,3
16,11
16,12
16,13
16,14
16,15
16,23
16,24
16,25
16,26
16,27
16,36
16,37
16,38
16,39
17,3
17,15
17,23
17,36
18,3
18,15
18,23
18,36
19,3
19,7
19,8
19,9
19,30
19,31
19,32
19,36
20,3
20,7
20,8
20,9
20,30
20,31
20,32
20,36
21,3
21,7
21,8
21,9
21,15
21,16
21,17
21,18
21,19
21,20
21,21
21,22
21,23
21,30
21,31
21,32
21,36
22,15
22,16
22,17
22,18
22,19
22,20
22,21
22,22
22,23
23,15
23,16
23,17
23,18
23,19
23,20
23,21
23,22
23,23
24,5
24,15
24,16
24,17
24,18
24,19
24,20
24,21
24,22
24,23
24,34
25,8
25,9
25,10
25,11
25,15
25,16
25,17
25,18
25,19
25,20
25,21
25,22
25,23
25,27
25,28
25,29
25,30
26,8
26,30
27,0
27,1
27,2
27,3
27,8
27,30
27,35
27,36
27,37
27,38
27,39
28,3
28,8
28,30
28,35
29,3
29,8
29,11
29,12
29,13
29,14
29,15
29,16
29,17
29,18
29,19
29,20
29,21
29,22
29,23
29,24
29,25
29,26
29,27
29,30
29,35
30,8
30,18
30,19
30,20
30,21
30,30
31,8
31,18
31,19
31,20
31,21
31,30
32,8
32,18
32,19
32,20
32,21
32,30
33,8
33,9
33,10
33,11
33,12
33,13
33,14
33,15
33,18
33,19
33,20
33,21
33,24
33,25
33,26
33,27
33,28
33,29
33,30
34,2
34,3
34,4
34,35
34,36
34,37
35,2
35,3
35,4
35,35
35,36
35,37
36,2
36,3
36,4
36,10
36,11
36,12
36,13
36,14
36,15
36,16
36,17
36,18
36,19
36,20
36,21
36,22
36,23
36,24
36,25
36,26
36,27
36,28
36,35
36,36
36,37
37,2
37,3
37,4
37,10
37,11
37,12
37,13
37,14
37,15
37,16
37,17
37,18
37,19
37,20
37,21
37,22
37,23
37,24
37,25
37,26
37,27
37,28
37,35
37,36
37,37
38,10
38,11
38,12
38,13
38,14
38,15
38,16
38,17
38,18
38,19
38,20
38,21
38,22
38,23
38,24
38,25
38,26
38,27
38,28
39,10
39,11
39,12
39,13
39,14
39,15
39,16
39,17
39,18
39,19
39,20
39,21
39,22
39,23
39,24
39,25
39,26
39,27
39,28
